ID,HEALTHY_FEATURES,JOB,AGE,,OBJEKT zuordnung,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
1,Gänseblümchenartig,  ,24,,[],,,,,,
1,regelmäßige Anordnung weißer Anteile,  ,24,,[],,,,,,
1,Drüse klar abgegrenzt,  ,24,,[],,,,,,
1,Segmente kreisförmig um Mittelpunkt,  ,24,,[],,,,,,
1,weis vor rotem Grund,  ,24,,[],,,,,,
2,qshift,,,,[],,,,,,
4,Blumenförmig,  ,21,,[],,,,,,
4,Symmetrie ,  ,21,,[],,,,,,
4,Stroma netzförmig,  ,21,,[],,,,,,
4,Gland boundary stabil ,  ,21,,[],,,,,,
4,Gland boundary dicker ,  ,21,,[],,,,,,
5,Normal crypt architecture,pathologe  ,35,,[],,,,,,
5,H &E,pathologe  ,35,,[],,,,,,
5,Basaly located nuclei,pathologe  ,35,,[],,,,,,
5,No inflammation,pathologe  ,35,,[],,,,,,
5,Goblet cells,pathologe  ,35,,[],,,,,,
8,eosinophile Färbung,MedStudent  ,26,,[],,,,,,
8,einschichtiges Epithel,MedStudent  ,26,,[],,,,,,
8,Zellkerne,MedStudent  ,26,,[],,,,,,
8,physiologisch?,MedStudent  ,26,,[],,,,,,
8,Becherzellen?,MedStudent  ,26,,[],,,,,,
10,Sehr dunkle Drüsenbegrenzung,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,große weiße Epithelzellen,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,meist runde oder ovale Formen,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,einheitliches und weißes Lumen,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,klar definierte Formen im Inneren der Dr,  TU Student (Biomedical Engineering),23,,[],,,,,,
11,blütenförmige anordnung der Lumen,  Biomedical Engineering Student,26,,[],,,,,,
11,zerfurchtes Äußeres,  Biomedical Engineering Student,26,,[],,,,,,
11,klare Trennungen,  Biomedical Engineering Student,26,,[],,,,,,
11,Ein zentrales Lumen,  Biomedical Engineering Student,26,,[],,,,,,
11,eiförmige Lumen,  Biomedical Engineering Student,26,,[],,,,,,
11,klare Abtrennung durch Mucosa,  Biomedical Engineering Student,26,,[],,,,,,
11,kreisrunde Mitte,  Biomedical Engineering Student,26,,[],,,,,,
12,stroma unauffällig,MedStudent  8. semester,24,,[],,,,,,
12,keine auffälligkeiten,MedStudent  8. semester,24,,[],,,,,,
12,geordnet,MedStudent  8. semester,24,,[],,,,,,
12,zellen geordnet,MedStudent  8. semester,24,,[],,,,,,
12,rund,MedStudent  8. semester,24,,[],,,,,,
14,Mehrfach geteilt,  Bachelor of Science ,22,,[],,,,,,
14,Dunkel und hell,  Bachelor of Science ,22,,[],,,,,,
14,Blume,  Bachelor of Science ,22,,[],,,,,,
14,Faserig ,  Bachelor of Science ,22,,[],,,,,,
14,Violett/Rosa,  Bachelor of Science ,22,,[],,,,,,
15,Drüse mit vielen Drüsengängen,  ,22,,[],,,,,,
15,Lumen locker,  ,22,,[],,,,,,
15,Gesunde Drüse,  ,22,,[],,,,,,
15,Lumen löchrig,  ,22,,[],,,,,,
15,Drüse Blumenförmig,  ,22,,[],,,,,,
16,Kreisform mittig,  Architektur,25,,[],,,,,,
16,Blume,  Architektur,25,,[],,,,,,
16,Kreisform außen,  Architektur,25,,[],,,,,,
16,mit kreisähnlichen Formen gefüllter Ring,  Architektur,25,,[],,,,,,
16,eindeutiges Zentrum,  Architektur,25,,[],,,,,,
17,mindestens 10 Zellen sichtbar,  Physiotherapeutin,26,,[],,,,,,
17,Zellen sind klar abgrenzbar,  Physiotherapeutin,26,,[],,,,,,
17,Zellen sind annähernd gleich groß,  Physiotherapeutin,26,,[],,,,,,
17,klare Drüsenwand,  Physiotherapeutin,26,,[],,,,,,
17,sternförmige Anordnung der Zellen,  Physiotherapeutin,26,,[],,,,,,
