ID,HG_ADENOMA_FEATURES,JOB,AGE,,OBJEKT zuordnung,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
1,längliche Zellen,  ,24,,[],,,,,,
1,vereinzelte dunkele Flecken,  ,24,,[],,,,,,
1,in dichten Zellverband eingebettet,  ,24,,[],,,,,,
1,rot,  ,24,,[],,,,,,
1,Drüßenanteile nach Innen heller,  ,24,,[],,,,,,
4,Lumen langförmig,  ,21,,[],,,,,,
4,Langezogene epith. Cells ,  ,21,,[],,,,,,
4,Relativ symmetrisch ,  ,21,,[],,,,,,
4,Feiner durchzogen,  ,21,,[],,,,,,
4,Dünne gland boundary ,  ,21,,[],,,,,,
8,eosinophile Färbung,MedStudent  ,26,,[],,,,,,
8,mehrschichtig,MedStudent  ,26,,[],,,,,,
8,asymmetrisches Lumen,MedStudent  ,26,,[],,,,,,
8,dunkle Punkte/Pigmente?,MedStudent  ,26,,[],,,,,,
8,Becherzellen?,MedStudent  ,26,,[],,,,,,
10,langes Lumen,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,Druesengrenze schwer erkennbar,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,weisse Druesengrenze,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,lange Epithelzellen,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,eckige Druesengrenze,  TU Student (Biomedical Engineering),23,,[],,,,,,
11,Lumen mit Richtung,  Biomedical Engineering Student,26,,[],,,,,,
11,kleine Lumen um zentrales Lumen,  Biomedical Engineering Student,26,,[],,,,,,
11,Katzenauge,  Biomedical Engineering Student,26,,[],,,,,,
11,"Spitzes, kantiges Lumen",  Biomedical Engineering Student,26,,[],,,,,,
11,fließende Übergänge,  Biomedical Engineering Student,26,,[],,,,,,
11,von hell (innen) nach dunkel (außen),  Biomedical Engineering Student,26,,[],,,,,,
11,Pinselstriche nach Außen,  Biomedical Engineering Student,26,,[],,,,,,
11,längliche Kerne,  Biomedical Engineering Student,26,,[],,,,,,
12,verdickter rand,MedStudent  8. semester,24,,[],,,,,,
12,zellinfiltration,MedStudent  8. semester,24,,[],,,,,,
12,hyperplasie,MedStudent  8. semester,24,,[],,,,,,
12,lumen verengt,MedStudent  8. semester,24,,[],,,,,,
12,vergrößert,MedStudent  8. semester,24,,[],,,,,,
14,Oval ,  Bachelor of Science ,22,,[],,,,,,
14,Faserig ,  Bachelor of Science ,22,,[],,,,,,
14,Langgezogen,  Bachelor of Science ,22,,[],,,,,,
14,Weißes lumen,  Bachelor of Science ,22,,[],,,,,,
14,Rot/pink,  Bachelor of Science ,22,,[],,,,,,
15,Drüse wurmförmig,  ,22,,[],,,,,,
15,Lumen löchrig,  ,22,,[],,,,,,
15,Lumen angeschwollen,  ,22,,[],,,,,,
15,Lumen netzartig,  ,22,,[],,,,,,
15,Lumen rötlich,  ,22,,[],,,,,,
16,Gesamtes nicht kreisförmig,  Architektur,25,,[],,,,,,
16,Kern länglich,  Architektur,25,,[],,,,,,
16,Kern klar abgegrenzt,  Architektur,25,,[],,,,,,
16,schmale Außenlinie,  Architektur,25,,[],,,,,,
16,um den Kern weniger dicht Punkte,  Architektur,25,,[],,,,,,
16,um den Kern größere Punkte,  Architektur,25,,[],,,,,,
17,ovale Drüsenform,  Physiotherapeutin,26,,[],,,,,,
17,Lumen flach und länglich,  Physiotherapeutin,26,,[],,,,,,
17,klare Abgrenzung von Umgebung möglich,  Physiotherapeutin,26,,[],,,,,,
17,Lumenwand ist nicht durchgängig,  Physiotherapeutin,26,,[],,,,,,
17,Ausstülpungen am Lumen sichtbar,  Physiotherapeutin,26,,[],,,,,,
