ID,HG_ADENOMA_FEATURES,JOB,AGE,DRÜSE RUND,LUMEN UNFÖRMIG,,OBJEKT zuordnung,Kategorie
1,längliche Zellen,  ,24,Falsch,Richtig,,['ZELLE'],
1,vereinzelte dunkele Flecken,  ,24,Falsch,Richtig,,[],
1,in dichten Zellverband eingebettet,  ,24,Falsch,Richtig,,[],
1,rot,  ,24,Falsch,Richtig,,[],
1,Drüßenanteile nach Innen heller,  ,24,Falsch,Richtig,,[],
4,Lumen langförmig,  ,21,Falsch,Richtig,,['LUMEN'],
4,Langezogene epith. Cells ,  ,21,Falsch,Richtig,,['ZELLE'],
4,Relativ symmetrisch ,  ,21,Falsch,Richtig,,[],
4,Feiner durchzogen,  ,21,Falsch,Richtig,,[],
4,Dünne gland boundary ,  ,21,Falsch,Richtig,,['DRÜSE'],
8,eosinophile Färbung,MedStudent  ,26,Falsch,Richtig,,[],
8,mehrschichtig,MedStudent  ,26,Falsch,Richtig,,[],
8,asymmetrisches Lumen,MedStudent  ,26,Falsch,Richtig,,['LUMEN'],
8,dunkle Punkte/Pigmente?,MedStudent  ,26,Falsch,Richtig,,[],
8,Becherzellen?,MedStudent  ,26,Falsch,Richtig,,['ZELLE'],
10,langes Lumen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,['LUMEN'],
10,Druesengrenze schwer erkennbar,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,[],
10,weisse Druesengrenze,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,[],
10,lange Epithelzellen,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,"['ZELLE', 'ZELLE']",
10,eckige Druesengrenze,  TU Student (Biomedical Engineering),23,Richtig,Falsch,,[],
11,Lumen mit Richtung,  Biomedical Engineering Student,26,Falsch,Richtig,,['LUMEN'],
11,kleine Lumen um zentrales Lumen,  Biomedical Engineering Student,26,Falsch,Richtig,,['LUMEN'],
11,Katzenauge,  Biomedical Engineering Student,26,Falsch,Richtig,,[],
11,"Spitzes, kantiges Lumen",  Biomedical Engineering Student,26,Falsch,Richtig,,['LUMEN'],
11,fließende Übergänge,  Biomedical Engineering Student,26,Falsch,Richtig,,[],
11,von hell (innen) nach dunkel (außen),  Biomedical Engineering Student,26,Falsch,Richtig,,[],
11,Pinselstriche nach Außen,  Biomedical Engineering Student,26,Falsch,Richtig,,[],
11,längliche Kerne,  Biomedical Engineering Student,26,Falsch,Richtig,,['ZELLKERN'],
12,verdickter rand,MedStudent  8. semester,24,Richtig,Falsch,,[],
12,zellinfiltration,MedStudent  8. semester,24,Richtig,Falsch,,[],
12,hyperplasie,MedStudent  8. semester,24,Richtig,Falsch,,[],
12,lumen verengt,MedStudent  8. semester,24,Richtig,Falsch,,['LUMEN'],
12,vergrößert,MedStudent  8. semester,24,Richtig,Falsch,,[],
14,Oval ,  Bachelor of Science ,22,Richtig,Richtig,,[],
14,Faserig ,  Bachelor of Science ,22,Richtig,Richtig,,[],
14,Langgezogen,  Bachelor of Science ,22,Richtig,Richtig,,[],
14,Weißes lumen,  Bachelor of Science ,22,Richtig,Richtig,,['LUMEN'],
14,Rot/pink,  Bachelor of Science ,22,Richtig,Richtig,,[],
15,Drüse wurmförmig,  ,22,Falsch,Richtig,,['DRÜSE'],
15,Lumen löchrig,  ,22,Falsch,Richtig,,['LUMEN'],
15,Lumen angeschwollen,  ,22,Falsch,Richtig,,['LUMEN'],
15,Lumen netzartig,  ,22,Falsch,Richtig,,['LUMEN'],
15,Lumen rötlich,  ,22,Falsch,Richtig,,['LUMEN'],
16,Gesamtes nicht kreisförmig,  Architektur,25,Falsch,Richtig,,[],
16,Kern länglich,  Architektur,25,Falsch,Richtig,,['ZELLKERN'],
16,Kern klar abgegrenzt,  Architektur,25,Falsch,Richtig,,['ZELLKERN'],
16,schmale Außenlinie,  Architektur,25,Falsch,Richtig,,[],
16,um den Kern weniger dicht Punkte,  Architektur,25,Falsch,Richtig,,['ZELLKERN'],
16,um den Kern größere Punkte,  Architektur,25,Falsch,Richtig,,['ZELLKERN'],
17,ovale Drüsenform,  Physiotherapeutin,26,Falsch,Richtig,,['DRÜSE'],
17,Lumen flach und länglich,  Physiotherapeutin,26,Falsch,Richtig,,['LUMEN'],
17,klare Abgrenzung von Umgebung möglich,  Physiotherapeutin,26,Falsch,Richtig,,[],
17,Lumenwand ist nicht durchgängig,  Physiotherapeutin,26,Falsch,Richtig,,['LUMEN'],
17,Ausstülpungen am Lumen sichtbar,  Physiotherapeutin,26,Falsch,Richtig,,['LUMEN'],
