ID,Hyperplastic_FEATURES,JOB,AGE,,OBJEKT zuordnung,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
1,Zellkerne auserhalb,  ,24,,[],,,,,,
1,oval,  ,24,,[],,,,,,
1,starke Kontrastierung,  ,24,,[],,,,,,
1,Inhomogenes weis im Inneren,  ,24,,[],,,,,,
1,Drüse schwarz umrandet,  ,24,,[],,,,,,
4,Oval,  ,21,,[],,,,,,
4,Asymmetrisch ,  ,21,,[],,,,,,
4,Löchrig,  ,21,,[],,,,,,
4,Gland boundary geschwächt,  ,21,,[],,,,,,
4,Unregelmäßig ,  ,21,,[],,,,,,
8,vergrößertes Lumen,MedStudent  ,26,,[],,,,,,
8,Blaufärbung,MedStudent  ,26,,[],,,,,,
8,prominente Zellkerne,MedStudent  ,26,,[],,,,,,
8,Hyperplasie der Zellen?,MedStudent  ,26,,[],,,,,,
8,Asymmetrie,MedStudent  ,26,,[],,,,,,
10,mehr oval als rund Druesengrenze,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,sehr weisses Lumen,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,wenige Epithelzellen,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,Lumen nicht rund ,  TU Student (Biomedical Engineering),23,,[],,,,,,
10,dunkles Bereich ausserhalb von Lumen,  TU Student (Biomedical Engineering),23,,[],,,,,,
11,schwarze Punkte,  Biomedical Engineering Student,26,,[],,,,,,
11,unklare Übergänge,  Biomedical Engineering Student,26,,[],,,,,,
11,Lumen als Insel,  Biomedical Engineering Student,26,,[],,,,,,
11,Avocadoförmige Abtrennung,  Biomedical Engineering Student,26,,[],,,,,,
11,marmorartige Strukturen in Lumen,  Biomedical Engineering Student,26,,[],,,,,,
11,langezogene Drüse,  Biomedical Engineering Student,26,,[],,,,,,
11,"heller, unförmiger Kern",  Biomedical Engineering Student,26,,[],,,,,,
11,Drüse hebt sich vom umliegenden Gewebe,  Biomedical Engineering Student,26,,[],,,,,,
11,"dunkler, fleckiger Rand",  Biomedical Engineering Student,26,,[],,,,,,
12,vergrößert,MedStudent  8. semester,24,,[],,,,,,
12,oval,MedStudent  8. semester,24,,[],,,,,,
12,unförmig,MedStudent  8. semester,24,,[],,,,,,
12,drüseninhalt,MedStudent  8. semester,24,,[],,,,,,
12,evtl infiltration ,MedStudent  8. semester,24,,[],,,,,,
14,Oval,  Bachelor of Science ,22,,[],,,,,,
14,Dunkel,  Bachelor of Science ,22,,[],,,,,,
14,Weiß,  Bachelor of Science ,22,,[],,,,,,
14,Adern,  Bachelor of Science ,22,,[],,,,,,
14,Punkte,  Bachelor of Science ,22,,[],,,,,,
15,Lumen oval,  ,22,,[],,,,,,
15,Lumen luftig,  ,22,,[],,,,,,
15,Lumen löchrig,  ,22,,[],,,,,,
15,Drüsen entartet,  ,22,,[],,,,,,
15,Drüse kantig,  ,22,,[],,,,,,
16,Spinnenfäden mittig,  Architektur,25,,[],,,,,,
16,Klecks in Hülle,  Architektur,25,,[],,,,,,
16,Marmorierung mit Punkten außen,  Architektur,25,,[],,,,,,
16,unregelmäßiger Ring um das Innere,  Architektur,25,,[],,,,,,
16,Reihe von Punkten entlang  Außenkante,  Architektur,25,,[],,,,,,
17,Drüse ist nicht symmetrisch,  Physiotherapeutin,26,,[],,,,,,
17,Struktur innerhalb des Lumens sichtbar,  Physiotherapeutin,26,,[],,,,,,
17,klare Abgrenzung von Umgebung möglich,  Physiotherapeutin,26,,[],,,,,,
17,Ausbuchtungen innerhalb der Drüsenwand,  Physiotherapeutin,26,,[],,,,,,
17,Drüsenwand ist ungleichmäßig dick,  Physiotherapeutin,26,,[],,,,,,
