ID,LG_ADENOMA_FEATURES,JOB,AGE,,OBJEKT zuordnung,BAUM STRUKTUR,,SYNONYMS-woxikon,,SYNONYMS-thesaurus,HIERARCHY
1,Nuclei dunkel lila,,[],,[],,,,,,
1,Lumen oval,,[],,[],,,,,,
1,Drüse quadratisch mit runden ecken,,[],,[],,,,,,
1,große Nuclei,,[],,[],,,,,,
1,Schicht mit Zellen ohne Nuclei,,[],,[],,,,,,
1,Drüsen gequetschter Kreis,,[],,[],,,,,,
1,dicke Zellwände,,[],,[],,,,,,
1,Lumen klein,,[],,[],,,,,,
1,große Zellen,,[],,[],,,,,,
2,wenig Stroma,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,viele große Sekretblasen,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,hell lila sekretblasen,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,kerne ähnlich geformt,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,kerne alle außen/basal liegend,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,wenig sekret/mucin,Arzt  Allgemeinmedizin,[],,[],,,,,,
2,viele kerne,Arzt  Allgemeinmedizin,[],,[],,,,,,
