feat,,doppeldeutig
Gänseblümchenartig,,
regelmäßige Anordnung weißer Anteile,,
Drüse klar abgegrenzt,,
Segmente kreisförmig um Mittelpunkt,,
weis vor rotem Grund,,
qshift anja,,
qshift,,
Blumenförmig,,
Symmetrie ,,
Stroma netzförmig,,
Gland boundary stabil ,,
Gland boundary dicker ,,
Normal crypt architecture,,
H &E,,
Basaly located nuclei,,
No inflammation,,
Goblet cells,,
eosinophile Färbung,,
einschichtiges Epithel,,
Zellkerne,,
physiologisch?,,
Becherzellen?,,
Sehr dunkle Drüsenbegrenzung,,
große weiße Epithelzellen,,
meist runde oder ovale Formen,,
einheitliches und weißes Lumen,,
klar definierte Formen im Inneren der Dr,,
blütenförmige anordnung der Lumen,,
zerfurchtes Äußeres,,
klare Trennungen,,
Ein zentrales Lumen,,
eiförmige Lumen,,
klare Abtrennung durch Mucosa,,
kreisrunde Mitte,,
stroma unauffällig,,
keine auffälligkeiten,,
geordnet,,
zellen geordnet,,
rund,,
Mehrfach geteilt,,
Dunkel und hell,,
Blume,,
Faserig ,,
Violett/Rosa,,
Drüse mit vielen Drüsengängen,,
Lumen locker,,
Gesunde Drüse,,
Lumen löchrig,,
Drüse Blumenförmig,,
Kreisform mittig,,
Blume,,
Kreisform außen,,
mit kreisähnlichen Formen gefüllter Ring,,
eindeutiges Zentrum,,
mindestens 10 Zellen sichtbar,,
Zellen sind klar abgrenzbar,,
Zellen sind annähernd gleich groß,,
klare Drüsenwand,,
sternförmige Anordnung der Zellen,,
