doppelvorkommen,wo,NR,in feature
Zellkerne,in features selber,3,"{'prominente Zellkerne', 'Zellschicht ohne Zellkerne', 'Zellkerne auserhalb'}"
oval,in features selber,4,"{'mehr oval als rund Druesengrenze', 'Lumen oval', 'oval'}"
Lumen,in features selber,11,"{'marmorartige Strukturen in Lumen', 'dunkles Bereich ausserhalb von Lumen', 'vergrößertes Lumen', 'sehr weisses Lumen', 'Lumen als Insel', 'Lumen nicht rund ', 'Lumen groß', 'Lumen luftig', 'Lumen löchrig', 'großes Lumen', 'Lumen oval'}"
rund,in features selber,2,"{'mehr oval als rund Druesengrenze', 'Lumen nicht rund '}"
Drüse,in features selber,6,"{'Drüse eiförmig', 'langezogene Drüse', 'Drüse hebt sich vom umliegenden Gewebe', 'Drüse schwarz umrandet', 'Drüse ist nicht symmetrisch', 'Drüse kantig'}"
Punkte,in features selber,2,"{'schwarze Punkte', 'Punkte'}"
Punkten,in features selber,2,"{'Reihe von Punkten entlang  Außenkante', 'Marmorierung mit Punkten außen'}"
Drüsenwand,in features selber,2,"{'Ausbuchtungen innerhalb der Drüsenwand', 'Drüsenwand ist ungleichmäßig dick'}"
Abgrenzung,in features selber,2,"{'Abgrenzung zu Gewebe durch Zellkernreihe', 'klare Abgrenzung von Umgebung möglich'}"
Gewebe,in features selber,2,"{'Abgrenzung zu Gewebe durch Zellkernreihe', 'Drüse hebt sich vom umliegenden Gewebe'}"
kleine,in features selber,2,"{'wenige kleine Sekretblasen', 'kleine Zellen'}"
lumen,in features selber,2,"{'lumen krampfplasmolysenartig', 'lumen unregelmäßig '}"
number,in features selber,2,"{'number of survery part:0', 'number of survery part:13'}"
of,in features selber,2,"{'number of survery part:0', 'number of survery part:13'}"
survery,in features selber,2,"{'number of survery part:0', 'number of survery part:13'}"
ellipsenförmig,woxikon,7,"['Drüse eiförmig', 'oval', 'Oval', 'mehr oval als rund Druesengrenze', 'Lumen oval']"
ohne,woxikon,5,"['Zellschicht ohne Zellkerne', 'heller, unförmiger Kern', 'unförmig', 'Gland boundary geschwächt']"
