doppelvorkommen,wo,NR,in feature
qshift,in features selber,2,"{'qshift anja', 'qshift'}"
Gland,in features selber,2,"{'Gland boundary dicker ', 'Gland boundary stabil '}"
boundary,in features selber,2,"{'Gland boundary dicker ', 'Gland boundary stabil '}"
Formen,in features selber,3,"{'mit kreisähnlichen Formen gefüllter Ring', 'klar definierte Formen im Inneren der Dr', 'meist runde oder ovale Formen'}"
Lumen,in features selber,6,"{'blütenförmige anordnung der Lumen', 'einheitliches und weißes Lumen', 'Lumen löchrig', 'Lumen locker', 'Ein zentrales Lumen', 'eiförmige Lumen'}"
geordnet,in features selber,2,"{'zellen geordnet', 'geordnet'}"
Drüse,in features selber,4,"{'Drüse mit vielen Drüsengängen', 'Gesunde Drüse', 'Drüse klar abgegrenzt', 'Drüse Blumenförmig'}"
Blumenförmig,in features selber,2,"{'Drüse Blumenförmig', 'Blumenförmig'}"
Kreisform,in features selber,2,"{'Kreisform außen', 'Kreisform mittig'}"
Zellen,in features selber,4,"{'mindestens 10 Zellen sichtbar', 'Zellen sind annähernd gleich groß', 'sternförmige Anordnung der Zellen', 'Zellen sind klar abgrenzbar'}"
Anordnung,in features selber,2,"{'regelmäßige Anordnung weißer Anteile', 'sternförmige Anordnung der Zellen'}"
Niederschlag,woxikon,3,"['regelmäßige Anordnung weißer Anteile', 'einheitliches und weißes Lumen', 'große weiße Epithelzellen']"
einverstanden,woxikon,3,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar']"
Einzelheit,woxikon,2,"['regelmäßige Anordnung weißer Anteile', 'Segmente kreisförmig um Mittelpunkt']"
Bedingung,woxikon,4,"['regelmäßige Anordnung weißer Anteile', 'blütenförmige anordnung der Lumen', 'weis vor rotem Grund', 'sternförmige Anordnung der Zellen']"
,woxikon,12,"['physiologisch?', 'Basaly located nuclei', 'Goblet cells', 'Violett/Rosa', 'H &E', 'Drüse Blumenförmig', 'Becherzellen?', 'Blumenförmig', 'Gänseblümchenartig', 'qshift anja', 'Zellkerne', 'eiförmige Lumen']"
gesund,woxikon,2,"['Normal crypt architecture', 'Gland boundary stabil ']"
allgemein,woxikon,2,"['meist runde oder ovale Formen', 'Normal crypt architecture']"
Menge,woxikon,2,"['regelmäßige Anordnung weißer Anteile', 'meist runde oder ovale Formen']"
Führung,woxikon,4,"['blütenförmige anordnung der Lumen', 'meist runde oder ovale Formen', 'sternförmige Anordnung der Zellen', 'regelmäßige Anordnung weißer Anteile']"
granulieren,woxikon,3,"['mit kreisähnlichen Formen gefüllter Ring', 'klar definierte Formen im Inneren der Dr', 'meist runde oder ovale Formen']"
ansonsten,woxikon,3,"['meist runde oder ovale Formen', 'Dunkel und hell', 'einheitliches und weißes Lumen']"
leer,woxikon,2,"['einheitliches und weißes Lumen', 'große weiße Epithelzellen']"
deutlich,woxikon,2,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt']"
erkennbar,woxikon,4,"['mindestens 10 Zellen sichtbar', 'klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar']"
gegliedert,woxikon,6,"['Drüse klar abgegrenzt', 'Zellen sind klar abgrenzbar', 'zellen geordnet', 'Mehrfach geteilt', 'geordnet', 'klar definierte Formen im Inneren der Dr']"
fein,woxikon,4,"['klar definierte Formen im Inneren der Dr', 'Drüse klar abgegrenzt', 'Lumen locker', 'Zellen sind klar abgrenzbar']"
